osm_id,name,type,light_pol,lat,lng
"170241166",Ajax Lexington Park,leisure-park,24.7600002290,43.876791,-79.004427
"170241300",Unknown,leisure-park,23.0380376150,43.885536,-79.007821
"170243158",Unknown,leisure-park,57.6406523760,43.938158,-78.843730
"170245704",Crystalview Park,leisure-park,66.2334960220,43.767745,-79.664054
"170246067",Churchill Park,leisure-park,20.2049999240,43.343186,-80.306947
"170263638",Unknown,leisure-park,36.2000007630,43.865741,-79.520414
"170263640",Unknown,leisure-park,68.9421593860,43.859629,-79.511213
"170263641",Maple Reservoir Park,leisure-park,41.2185319080,43.870350,-79.517967
"170264419",Jack Pine Park,leisure-park,46.1699981690,43.854637,-79.499681
"170265180",Unknown,leisure-park,37.5867321250,43.859680,-79.559348
"170265182",Unknown,leisure-park,36.4000015260,43.854915,-79.545514
"170266772",Alma Walker Park,leisure-park,26.7515522380,43.880833,-79.241118
"170349803",Rita Cox Parkette,leisure-park,106.6900024400,43.640151,-79.425595
"170353597",Unknown,leisure-park,20.8199996950,43.504263,-79.698897
"170468524",Unknown,leisure-park,75.2799987790,46.495148,-80.991230
"170490485",Salmon Run,leisure-park,105.8700027500,43.641782,-79.387235
"170525243",Unknown,leisure-park,29.9440331900,44.054683,-79.497032
"170527027",Craddock Park,leisure-park,55.1878925790,44.008481,-79.468392
"170602949",Unknown,leisure-park,14.7618883980,43.497214,-80.562870
"170603283",Unknown,leisure-park,11.1646445640,43.495456,-80.577684
"170603284",Unknown,leisure-park,8.8200021937,43.493900,-80.576566
"170603494",Unknown,leisure-park,11.1700000760,43.496436,-80.578390
"170603495",Unknown,leisure-park,10.7244084680,43.492585,-80.575994
"170666129",Unknown,leisure-park,36.5420315700,44.037534,-79.419058
"170667547",Poppy Lane Park,leisure-park,31.5699996950,44.041161,-79.423606
"170683292",Unknown,leisure-park,27.4165514900,44.031474,-79.438350
"170684391",College Manor Park,leisure-park,27.9881395810,44.049773,-79.446641
"170685342",Unknown,leisure-park,39.7099990840,44.028417,-79.471266
"170750432",Unknown,leisure-park,48.4364058160,44.044806,-79.465093
"170754374",Aurora Community Arboretum,leisure-park,42.5025005340,44.012019,-79.457492
"170928434",Unknown,leisure-park,31.1200008390,43.498758,-80.556551
"170928435",Lakeshore Optimist Park,leisure-park,40.3467017310,43.498250,-80.554978
"170928436",Unknown,leisure-park,21.8099994660,43.497164,-80.556588
"170931937",Unknown,leisure-park,14.8699998860,43.497166,-80.560594
"170984554",Unknown,leisure-park,25.5599994660,44.012608,-79.433060
"170985524",Civic Square Park,leisure-park,47.0900001530,44.008144,-79.448889
"170992081",Miriam Segal Park,leisure-park,37.8800010680,43.840725,-79.474097
"170992468",Thornhill Woods Park,leisure-park,32.9099998470,43.833903,-79.465923
"170993216",Unknown,leisure-park,61.1942677760,43.864445,-79.428088
"170993691",Unknown,leisure-park,80.4046212950,43.851817,-79.428144
"170996056",Twelve Oaks Park,leisure-park,24.0411079580,43.876872,-79.475053
"170996095",Unknown,leisure-park,21.2435373140,43.874175,-79.477058
"170997695",Unknown,leisure-park,60.1667383620,43.907739,-79.441991
"170997927",Unknown,leisure-park,28.8346825220,43.906580,-79.430101
"170997933",Unknown,leisure-park,37.2083085790,43.906364,-79.434987
"170997954",Unknown,leisure-park,46.7823881620,43.905244,-79.439308
"171000814",Hollyview Park,leisure-park,13.7322724800,43.472925,-80.586035
"171000851",Blue Beech,leisure-park,21.3754481320,43.470915,-80.596875
